,order,species,adult_body_mass_g,adult_head_body_len_mm,home_range_km2,litter_size,habitat
616,Rodentia,Batomys russatus,NA,NA,NA,NA,T
617,Rodentia,Batomys salomonseni,185.76,175,NA,NA,T
622,Rodentia,Beamys hindei,75.8,149.23,NA,3.49,T
623,Rodentia,Beamys major,NA,NA,NA,4,T
625,Rodentia,Belomys pearsonii,NA,NA,NA,NA,T
628,Rodentia,Berylmys berdmorei,NA,NA,NA,NA,T
629,Rodentia,Berylmys bowersi,358.68,253.06,NA,3.88,T
630,Rodentia,Berylmys mackenziei,NA,NA,NA,NA,T
631,Rodentia,Berylmys manipulus,NA,NA,NA,NA,T
636,Rodentia,Bibimys chacoensis,28,NA,NA,NA,T
637,Rodentia,Bibimys labiosus,NA,NA,NA,NA,T
379,Rodentia,Bibimys torresi,28,NA,NA,NA,T
382,Rodentia,Biswamoyopterus biswasi,NA,NA,NA,NA,T
383,Rodentia,Blanfordimys afghanus,NA,NA,NA,3.4,T
384,Rodentia,Blanfordimys bucharensis,NA,NA,NA,NA,T
400,Rodentia,Blarinomys breviceps,36.79,104.55,NA,1.21,T
402,Rodentia,Boromys offella,NA,NA,NA,NA,T
403,Rodentia,Boromys torrei,NA,NA,NA,NA,T
28,Rodentia,Brachiones przewalskii,NA,NA,NA,NA,T
407,Rodentia,Brachytarsomys albicauda,200,225,NA,NA,T
408,Rodentia,Brachytarsomys villosa,219.99,NA,NA,NA,T
411,Rodentia,Brachyuromys betsileoensis,93.58,162.5,NA,NA,T
412,Rodentia,Brachyuromys ramirohitra,92.31,162.5,NA,NA,T
641,Rodentia,Brotomys contractus,NA,NA,NA,NA,T
642,Rodentia,Brotomys voratus,NA,NA,NA,NA,T
643,Rodentia,Brucepattersonius albinasus,NA,NA,NA,NA,T
644,Rodentia,Brucepattersonius griserufescens,NA,NA,NA,NA,T
645,Rodentia,Brucepattersonius guarani,NA,NA,NA,NA,T
646,Rodentia,Brucepattersonius igniventris,NA,NA,NA,NA,T
647,Rodentia,Brucepattersonius iheringi,43,NA,NA,NA,T
648,Rodentia,Brucepattersonius misionensis,NA,NA,NA,NA,T
649,Rodentia,Brucepattersonius paradisus,NA,NA,NA,NA,T
650,Rodentia,Brucepattersonius soricinus,NA,NA,NA,NA,T
656,Rodentia,Bullimus bagobus,395.38,289.61,NA,NA,T
657,Rodentia,Bullimus gamay,NA,NA,NA,NA,T
658,Rodentia,Bullimus luzonicus,NA,239.99,NA,NA,T
660,Rodentia,Bunomys andrewsi,NA,NA,NA,NA,T
661,Rodentia,Bunomys chrysocomus,111.29,NA,NA,NA,T
662,Rodentia,Bunomys coelestis,NA,NA,NA,NA,T
663,Rodentia,Bunomys fratrorum,130.31,NA,NA,NA,T
664,Rodentia,Bunomys penitus,NA,NA,NA,NA,T
665,Rodentia,Bunomys prolatus,NA,NA,NA,NA,T
60,Rodentia,Callistomys pictus,518.99,NA,NA,NA,T
83,Rodentia,Callosciurus adamsi,208.72,203.5,NA,1.94,T
84,Rodentia,Callosciurus albescens,NA,NA,NA,NA,T
85,Rodentia,Callosciurus baluensis,323.91,203.5,NA,3,T
86,Rodentia,Callosciurus caniceps,264.91,211.08,0.01,2.19,T
87,Rodentia,Callosciurus erythraeus,283.23,211.93,0.008950755,1.94,T
88,Rodentia,Callosciurus finlaysonii,NA,NA,NA,NA,T
89,Rodentia,Callosciurus inornatus,NA,NA,NA,NA,T
90,Rodentia,Callosciurus melanogaster,296,213,NA,NA,T
91,Rodentia,Callosciurus nigrovittatus,208.3,203.5,0.01,2.36,T
92,Rodentia,Callosciurus notatus,209.49,203.5,0.02,2.62,T
93,Rodentia,Callosciurus orestes,323.91,203.5,NA,3,T
94,Rodentia,Callosciurus phayrei,NA,NA,NA,NA,T
95,Rodentia,Callosciurus prevostii,400,247,NA,1.29,T
96,Rodentia,Callosciurus pygerythrus,NA,NA,NA,NA,T
97,Rodentia,Callosciurus quinquestriatus,NA,NA,NA,NA,T
98,Rodentia,Calomys boliviae,27,NA,NA,NA,T
99,Rodentia,Calomys callidus,27,NA,NA,NA,T
100,Rodentia,Calomys callosus,44.95,NA,NA,4.91,T
101,Rodentia,Calomys expulsus,39.86,NA,NA,NA,T
102,Rodentia,Calomys hummelincki,27,NA,NA,NA,T
103,Rodentia,Calomys laucha,14,NA,NA,5.3,T
104,Rodentia,Calomys lepidus,20.59,NA,NA,4.29,T
105,Rodentia,Calomys musculinus,20.2,NA,NA,6.27,T
106,Rodentia,Calomys sorellus,20,NA,NA,NA,T
107,Rodentia,Calomys tener,13.8,69.2,NA,NA,T
108,Rodentia,Calomys tocantinsi,NA,NA,NA,NA,T
109,Rodentia,Calomys venustus,49.33,NA,NA,NA,T
110,Rodentia,Calomyscus bailwardi,21.38,NA,NA,4,T
111,Rodentia,Calomyscus baluchi,NA,NA,NA,NA,T
112,Rodentia,Calomyscus elburzensis,NA,NA,NA,NA,T
113,Rodentia,Calomyscus grandis,NA,NA,NA,NA,T
114,Rodentia,Calomyscus hotsoni,NA,NA,NA,NA,T
115,Rodentia,Calomyscus mystax,NA,NA,NA,4.99,T
116,Rodentia,Calomyscus tsolovi,NA,NA,NA,NA,T
117,Rodentia,Calomyscus urartensis,NA,NA,NA,NA,T
31,Rodentia,Cannomys badius,472.07,NA,NA,2,T
32,Rodentia,Cansumys canus,NA,NA,NA,NA,T
753,Rodentia,Capromys gundlachianus,NA,NA,NA,NA,T
754,Rodentia,Capromys pilorides,5200,NA,NA,2,T
756,Rodentia,Cardiocranius paradoxus,NA,NA,NA,NA,T
765,Rodentia,Carpomys melanurus,NA,200,NA,NA,T
766,Rodentia,Carpomys phaeurus,NA,185,NA,NA,T
767,Rodentia,Carterodon sulcidens,113.8,NA,NA,NA,T
768,Rodentia,Caryomys eva,NA,NA,NA,NA,T
769,Rodentia,Caryomys inez,NA,NA,NA,1.94,T
771,Rodentia,Castor canadensis,18124.41,754.74,0.06,3.6,T
772,Rodentia,Castor fiber,19000,NA,NA,2.95,T
776,Rodentia,Cavia aperea,524.38,NA,0.000921587,2.14,T
777,Rodentia,Cavia fulgida,282.5,NA,NA,1.34,T
778,Rodentia,Cavia intermedia,NA,NA,NA,NA,T
779,Rodentia,Cavia magna,459.99,NA,NA,NA,T
780,Rodentia,Cavia porcellus,727.99,NA,NA,3.45,T
781,Rodentia,Cavia tschudii,1000,NA,NA,1.9,T
215,Rodentia,Chaetocauda sichuanensis,31.51,91.8,NA,NA,T
216,Rodentia,Chaetodipus arenarius,23,68.37,NA,2.91,T
217,Rodentia,Chaetodipus artus,NA,88.81,NA,NA,T
218,Rodentia,Chaetodipus baileyi,28.44,93.93,NA,3.68,T
219,Rodentia,Chaetodipus californicus,23.01,NA,NA,4,T
220,Rodentia,Chaetodipus dalquesti,NA,NA,NA,NA,T
221,Rodentia,Chaetodipus eremicus,NA,NA,NA,NA,T
222,Rodentia,Chaetodipus fallax,19.19,83.35,0.002300009,3.45,T
223,Rodentia,Chaetodipus formosus,20.02,193.91,NA,5.28,T
224,Rodentia,Chaetodipus goldmani,NA,NA,NA,NA,T
225,Rodentia,Chaetodipus hispidus,37.24,104.51,NA,5.34,T
226,Rodentia,Chaetodipus intermedius,14.94,NA,NA,5.53,T
227,Rodentia,Chaetodipus lineatus,23,73.58,NA,NA,T
228,Rodentia,Chaetodipus nelsoni,15.53,79.83,0.002835545,3.46,T
229,Rodentia,Chaetodipus penicillatus,15.57,77.36,0.005027576,3.4,T
230,Rodentia,Chaetodipus pernix,17,71.87,NA,NA,T
231,Rodentia,Chaetodipus rudinoris,NA,NA,NA,NA,T
232,Rodentia,Chaetodipus spinatus,16.34,83.66,NA,3.5,T
420,Rodentia,Chaetomys subspinosus,1299.99,599.52,NA,NA,T
669,Rodentia,Chelemys delfini,NA,NA,NA,NA,T
670,Rodentia,Chelemys macronyx,70.99,NA,NA,4.37,T
671,Rodentia,Chelemys megalonyx,50.8,NA,NA,NA,T
672,Rodentia,Chibchanomys orcesi,NA,NA,NA,NA,T
673,Rodentia,Chibchanomys trichotis,49.99,NA,NA,0.97,T
674,Rodentia,Chilomys instans,19,NA,NA,NA,T
683,Rodentia,Chinchilla chinchilla,499.99,305,NA,2.5,T
684,Rodentia,Chinchilla lanigera,480.28,305,NA,1.87,T
685,Rodentia,Chinchillula sahamae,169.74,NA,NA,NA,T
686,Rodentia,Chionomys gud,NA,NA,NA,5.83,T
687,Rodentia,Chionomys nivalis,42.01,NA,NA,3.42,T
688,Rodentia,Chionomys roberti,NA,NA,NA,1.94,T
694,Rodentia,Chiromyscus chiropus,NA,NA,NA,NA,T
697,Rodentia,Chiropodomys calamianensis,28.9,93.99,NA,NA,T
698,Rodentia,Chiropodomys gliroides,23.68,NA,NA,1.65,T
699,Rodentia,Chiropodomys karlkoopmani,NA,NA,NA,NA,T
700,Rodentia,Chiropodomys major,28.9,93.99,NA,NA,T
701,Rodentia,Chiropodomys muroides,28.9,93.99,NA,NA,T
702,Rodentia,Chiropodomys pusillus,28.9,93.99,NA,NA,T
708,Rodentia,Chiruromys forbesi,105.15,144.23,NA,2.68,T
709,Rodentia,Chiruromys lamia,47.2,112.63,NA,2.15,T
710,Rodentia,Chiruromys vates,45.46,109.79,NA,1.07,T
874,Rodentia,Chrotomys gonzalesi,140.2,172.99,NA,NA,T
875,Rodentia,Chrotomys mindorensis,151.98,172.99,NA,NA,T
876,Rodentia,Chrotomys silaceus,NA,195,NA,NA,T
877,Rodentia,Chrotomys whiteheadi,151.98,172.99,NA,NA,T
888,Rodentia,Clidomys osborni,NA,NA,NA,NA,T
890,Rodentia,Clyomys bishopi,30,NA,NA,NA,T
891,Rodentia,Clyomys laticeps,201,NA,NA,NA,T
892,Rodentia,Coccymys albidens,NA,114.99,NA,NA,T
893,Rodentia,Coccymys ruemmleri,29.7,101.06,NA,NA,T
896,Rodentia,Coendou bicolor,4492.49,NA,NA,1,T
897,Rodentia,Coendou nycthemera,2999.98,350.15,NA,NA,T
898,Rodentia,Coendou prehensilis,4116.2,467.6,0.14,0.98,T
899,Rodentia,Coendou rothschildi,2000,NA,NA,NA,T
907,Rodentia,Colomys goslingi,62.5,124.62,NA,1.97,T
915,Rodentia,Conilurus albipes,200,250,NA,NA,T
916,Rodentia,Conilurus penicillatus,175.02,189.17,NA,2,T
965,Rodentia,Coryphomys buehleri,NA,NA,NA,NA,T
967,Rodentia,Crateromys australis,NA,265,NA,NA,T
968,Rodentia,Crateromys heaneyi,NA,NA,NA,NA,T
969,Rodentia,Crateromys paulus,NA,252.8,NA,NA,T
970,Rodentia,Crateromys schadenbergi,NA,370.73,NA,NA,T
971,Rodentia,Cratogeomys castanops,266.83,192.55,NA,2.34,T
972,Rodentia,Cratogeomys fumosus,150,NA,NA,NA,T
973,Rodentia,Cratogeomys goldmani,NA,NA,NA,NA,T
974,Rodentia,Cratogeomys gymnurus,599.99,NA,NA,NA,T
975,Rodentia,Cratogeomys merriami,419.99,NA,NA,1.94,T
976,Rodentia,Cratogeomys neglectus,302.48,192.53,NA,1.94,T
977,Rodentia,Cratogeomys tylorhinus,403.42,214.74,NA,1.94,T
978,Rodentia,Cratogeomys zinseri,150,NA,NA,NA,T
979,Rodentia,Cremnomys cutchicus,NA,NA,NA,5.23,T
980,Rodentia,Cremnomys elvira,NA,NA,NA,NA,T
981,Rodentia,Cricetomys ansorgei,NA,NA,NA,NA,T
982,Rodentia,Cricetomys emini,1280,NA,NA,0.97,T
983,Rodentia,Cricetomys gambianus,1267.52,362.64,NA,3.11,T
984,Rodentia,Cricetomys kivuensis,NA,NA,NA,NA,T
985,Rodentia,Cricetulus alticola,NA,NA,NA,NA,T
233,Rodentia,Cricetulus barabensis,NA,NA,NA,6.06,T
234,Rodentia,Cricetulus kamensis,NA,NA,NA,NA,T
235,Rodentia,Cricetulus longicaudatus,NA,NA,NA,5.71,T
236,Rodentia,Cricetulus migratorius,30.59,NA,NA,5.2,T
237,Rodentia,Cricetulus sokolovi,NA,NA,NA,NA,T
238,Rodentia,Cricetus cricetus,428.95,NA,NA,7.14,T
1019,Rodentia,Crossomys moncktoni,168.42,193.61,NA,1.07,T
1020,Rodentia,Crunomys celebensis,NA,NA,NA,NA,T
1021,Rodentia,Crunomys fallax,NA,105,NA,NA,T
1022,Rodentia,Crunomys melanius,NA,99.49,NA,NA,T
1023,Rodentia,Crunomys suncoides,NA,NA,NA,NA,T
1026,Rodentia,Cryptomys amatus,76.74,NA,NA,NA,T
1027,Rodentia,Cryptomys anselli,85.59,NA,NA,NA,T
1028,Rodentia,Cryptomys bocagei,93.84,NA,NA,NA,T
1029,Rodentia,Cryptomys damarensis,112.2,NA,0.01,3,T
1030,Rodentia,Cryptomys darlingi,65.58,NA,NA,1.84,T
1031,Rodentia,Cryptomys foxi,NA,NA,NA,NA,T
1032,Rodentia,Cryptomys hottentotus,75.13,NA,0.001455832,2.48,T
1033,Rodentia,Cryptomys kafuensis,NA,NA,NA,NA,T
1034,Rodentia,Cryptomys mechowi,271.54,NA,NA,2.6,T
1035,Rodentia,Cryptomys ochraceocinereus,200,NA,NA,3,T
1036,Rodentia,Cryptomys zechi,NA,NA,NA,NA,T
1068,Rodentia,Ctenodactylus gundi,288.41,208,NA,2,T
1069,Rodentia,Ctenodactylus vali,173.6,176,NA,2,T
1070,Rodentia,Ctenomys argentinus,221.3,NA,NA,NA,T
1071,Rodentia,Ctenomys australis,403.32,NA,NA,NA,T
1072,Rodentia,Ctenomys azarae,400,NA,NA,NA,T
1073,Rodentia,Ctenomys bergi,NA,NA,NA,NA,T
1074,Rodentia,Ctenomys boliviensis,462.6,221.1,NA,NA,T
1075,Rodentia,Ctenomys bonettoi,202.3,NA,NA,NA,T
1076,Rodentia,Ctenomys brasiliensis,NA,NA,NA,NA,T
1077,Rodentia,Ctenomys budini,NA,NA,NA,NA,T
1078,Rodentia,Ctenomys colburni,400,NA,NA,NA,T
1079,Rodentia,Ctenomys coludo,NA,NA,NA,NA,T
1080,Rodentia,Ctenomys conoveri,859.99,258.5,NA,NA,T
1081,Rodentia,Ctenomys coyhaiquensis,NA,NA,NA,NA,T
1082,Rodentia,Ctenomys dorbignyi,NA,NA,NA,NA,T
1083,Rodentia,Ctenomys dorsalis,165.6,200,NA,NA,T
1084,Rodentia,Ctenomys emilianus,285.29,NA,NA,NA,T
1085,Rodentia,Ctenomys famosus,NA,NA,NA,NA,T
1086,Rodentia,Ctenomys flamarioni,NA,NA,NA,NA,T
1087,Rodentia,Ctenomys fochi,NA,NA,NA,NA,T
1088,Rodentia,Ctenomys fodax,NA,NA,NA,NA,T
1089,Rodentia,Ctenomys frater,172.9,188.3,NA,NA,T
1090,Rodentia,Ctenomys fulvus,279.88,NA,NA,NA,T
1091,Rodentia,Ctenomys goodfellowi,NA,NA,NA,NA,T
1092,Rodentia,Ctenomys haigi,164,173.49,3.30E-05,NA,T
1093,Rodentia,Ctenomys johannis,NA,NA,NA,NA,T
1094,Rodentia,Ctenomys juris,NA,NA,NA,NA,T
1095,Rodentia,Ctenomys knighti,316,NA,NA,NA,T
1096,Rodentia,Ctenomys lami,NA,NA,NA,NA,T
1097,Rodentia,Ctenomys latro,192,NA,NA,NA,T
1098,Rodentia,Ctenomys leucodon,243.6,NA,NA,NA,T
1099,Rodentia,Ctenomys lewisi,117.2,177.5,NA,NA,T
1100,Rodentia,Ctenomys magellanicus,271.44,216,NA,NA,T
1101,Rodentia,Ctenomys maulinus,215,NA,NA,NA,T
1102,Rodentia,Ctenomys mendocinus,178.44,NA,NA,NA,T
1103,Rodentia,Ctenomys minutus,92,156.99,NA,NA,T
1104,Rodentia,Ctenomys occultus,150,NA,NA,NA,T
1105,Rodentia,Ctenomys opimus,327.05,213.29,NA,2,T
1106,Rodentia,Ctenomys osvaldoreigi,NA,NA,NA,NA,T
1107,Rodentia,Ctenomys pearsoni,212,NA,NA,NA,T
1108,Rodentia,Ctenomys perrensi,400,NA,NA,NA,T
1109,Rodentia,Ctenomys peruanus,488.36,238,NA,3,T
1110,Rodentia,Ctenomys pilarensis,NA,NA,NA,NA,T
1111,Rodentia,Ctenomys pontifex,400,NA,NA,NA,T
1112,Rodentia,Ctenomys porteousi,192.4,NA,NA,NA,T
1113,Rodentia,Ctenomys pundti,NA,NA,NA,NA,T
1114,Rodentia,Ctenomys rionegrensis,NA,NA,NA,NA,T
1115,Rodentia,Ctenomys roigi,NA,NA,NA,NA,T
1116,Rodentia,Ctenomys saltarius,230,NA,NA,NA,T
1117,Rodentia,Ctenomys scagliai,NA,NA,NA,NA,T
1118,Rodentia,Ctenomys sericeus,400,NA,NA,NA,T
1119,Rodentia,Ctenomys sociabilis,400,NA,NA,NA,T
1120,Rodentia,Ctenomys steinbachi,384.99,196.6,NA,NA,T
1121,Rodentia,Ctenomys sylvanus,NA,NA,NA,NA,T
1122,Rodentia,Ctenomys talarum,140.84,NA,2.04E-05,4.34,T
1123,Rodentia,Ctenomys torquatus,209.49,187,NA,2.5,T
1124,Rodentia,Ctenomys tuconax,248.99,NA,NA,NA,T
1125,Rodentia,Ctenomys tucumanus,217,NA,NA,NA,T
1126,Rodentia,Ctenomys tulduco,NA,NA,NA,NA,T
1127,Rodentia,Ctenomys validus,232.6,NA,NA,NA,T
1128,Rodentia,Ctenomys viperinus,NA,NA,NA,NA,T
1129,Rodentia,Ctenomys yolandae,NA,NA,NA,NA,T
1130,Rodentia,Cuniculus paca,8172.55,647.06,NA,1.01,T
1131,Rodentia,Cuniculus taczanowskii,8999.95,NA,NA,1,T
1133,Rodentia,Cuscomys ashaninka,NA,NA,NA,NA,T
1134,Rodentia,Cuscomys oblativa,NA,NA,NA,NA,T
1144,Rodentia,Cynomys gunnisoni,797.93,279.12,0.007188295,4.48,T
1145,Rodentia,Cynomys leucurus,963.76,307.49,0.05,5.4,T
1146,Rodentia,Cynomys ludovicianus,797.05,294.04,0.001787394,4.43,T
1147,Rodentia,Cynomys mexicanus,899.98,341.09,NA,4.18,T
1148,Rodentia,Cynomys parvidens,899.98,288.47,NA,4.89,T
1158,Rodentia,Dacnomys millardi,NA,NA,NA,NA,T
1159,Rodentia,Dactylomys boliviensis,728.8,NA,NA,NA,T
1160,Rodentia,Dactylomys dactylinus,649.98,285.02,0.001669342,NA,T
1161,Rodentia,Dactylomys peruanus,382,NA,NA,NA,T
1173,Rodentia,Dasymys alleni,NA,NA,NA,NA,T
1174,Rodentia,Dasymys cabrali,NA,NA,NA,NA,T
1175,Rodentia,Dasymys foxi,NA,NA,NA,NA,T
1176,Rodentia,Dasymys incomtus,127.75,NA,NA,2.67,T
918,Rodentia,Dasymys montanus,NA,NA,NA,NA,T
919,Rodentia,Dasymys nudipes,NA,NA,NA,NA,T
920,Rodentia,Dasymys rufulus,NA,NA,NA,NA,T
921,Rodentia,Dasymys rwandae,NA,NA,NA,NA,T
922,Rodentia,Dasymys sua,NA,NA,NA,NA,T
923,Rodentia,Dasyprocta azarae,2976.81,NA,NA,NA,T
924,Rodentia,Dasyprocta coibae,NA,NA,NA,NA,T
925,Rodentia,Dasyprocta cristata,2650.03,NA,NA,2,T
926,Rodentia,Dasyprocta fuliginosa,3500.02,NA,NA,NA,T
927,Rodentia,Dasyprocta guamara,2650.03,NA,NA,NA,T
928,Rodentia,Dasyprocta kalinowskii,2650.03,NA,NA,NA,T
929,Rodentia,Dasyprocta leporina,3009.99,572.29,NA,1.4,T
930,Rodentia,Dasyprocta mexicana,4999.99,NA,NA,NA,T
931,Rodentia,Dasyprocta prymnolopha,2900,NA,NA,1.5,T
932,Rodentia,Dasyprocta punctata,2309.12,NA,NA,1.25,T
933,Rodentia,Dasyprocta ruatanica,NA,NA,NA,NA,T
1187,Rodentia,Delanymys brooksi,4.99,NA,NA,3.19,T
365,Rodentia,Delomys collinus,NA,NA,NA,NA,T
366,Rodentia,Delomys dorsalis,67.5,NA,NA,NA,T
367,Rodentia,Delomys sublineatus,89.99,NA,NA,NA,T
371,Rodentia,Deltamys kempi,26.4,NA,NA,NA,T
437,Rodentia,Dendromus insignis,NA,NA,NA,NA,T
438,Rodentia,Dendromus kahuziensis,NA,NA,NA,3.49,T
439,Rodentia,Dendromus leucostomus,NA,NA,NA,NA,T
440,Rodentia,Dendromus lovati,12,NA,NA,NA,T
441,Rodentia,Dendromus melanotis,9.1,NA,NA,3.97,T
442,Rodentia,Dendromus mesomelas,10.2,NA,NA,3.94,T
443,Rodentia,Dendromus messorius,NA,NA,NA,2.95,T
444,Rodentia,Dendromus mystacalis,8.17,NA,NA,3.45,T
445,Rodentia,Dendromus nyasae,NA,NA,NA,NA,T
446,Rodentia,Dendromus nyikae,15,NA,NA,4.62,T
447,Rodentia,Dendromus oreas,NA,NA,NA,NA,T
448,Rodentia,Dendromus vernayi,NA,NA,NA,NA,T
449,Rodentia,Dendroprionomys rousseloti,NA,NA,NA,NA,T
450,Rodentia,Deomys ferrugineus,57.6,NA,NA,1.7,T
451,Rodentia,Dephomys defua,43.05,NA,NA,2.75,T
452,Rodentia,Dephomys eburneae,52.5,NA,NA,NA,T
454,Rodentia,Desmodilliscus braueri,10,NA,NA,2.6,T
455,Rodentia,Desmodillus auricularis,54.81,NA,NA,2.62,T
457,Rodentia,Desmomys harringtoni,89.99,NA,NA,NA,T
458,Rodentia,Desmomys yaldeni,NA,NA,NA,NA,T
466,Rodentia,Dicrostonyx groenlandicus,58.44,117.32,0.007305693,3.78,T
467,Rodentia,Dicrostonyx hudsonius,57,NA,NA,3.49,T
468,Rodentia,Dicrostonyx nelsoni,NA,NA,NA,NA,T
469,Rodentia,Dicrostonyx nunatakensis,NA,NA,NA,NA,T
470,Rodentia,Dicrostonyx richardsoni,NA,NA,NA,NA,T
471,Rodentia,Dicrostonyx torquatus,78.77,NA,NA,3.85,T
472,Rodentia,Dicrostonyx unalascensis,NA,NA,NA,2.79,T
473,Rodentia,Dicrostonyx vinogradovi,NA,NA,NA,NA,T
480,Rodentia,Dinaromys bogdanovi,56,NA,NA,2.5,T
481,Rodentia,Dinomys branickii,12500,750,NA,1.97,T
482,Rodentia,Diomys crumpi,NA,NA,NA,NA,T
486,Rodentia,Diplomys caniceps,394.49,NA,NA,NA,T
487,Rodentia,Diplomys labilis,282.17,NA,NA,1.18,T
488,Rodentia,Diplomys rufodorsalis,144.8,NA,NA,NA,T
489,Rodentia,Diplothrix legata,NA,NA,NA,NA,T
490,Rodentia,Dipodillus bottai,NA,NA,NA,NA,T
491,Rodentia,Dipodillus campestris,27.58,90.79,NA,4.34,T
492,Rodentia,Dipodillus dasyurus,27.5,83.05,NA,3.88,T
493,Rodentia,Dipodillus harwoodi,NA,NA,NA,NA,T
494,Rodentia,Dipodillus jamesi,NA,NA,NA,NA,T
495,Rodentia,Dipodillus lowei,NA,NA,NA,NA,T
496,Rodentia,Dipodillus mackilligini,NA,NA,NA,NA,T
497,Rodentia,Dipodillus maghrebi,NA,NA,NA,NA,T
1189,Rodentia,Dipodillus rupicola,NA,NA,NA,NA,T
1190,Rodentia,Dipodillus simoni,17.4,NA,NA,4.68,T
1191,Rodentia,Dipodillus somalicus,NA,NA,NA,NA,T
1192,Rodentia,Dipodillus stigmonyx,NA,NA,NA,NA,T
1193,Rodentia,Dipodillus zakariai,NA,NA,NA,NA,T
1194,Rodentia,Dipodomys agilis,60.21,NA,0.002396454,2.6,T
1195,Rodentia,Dipodomys californicus,84.95,115.15,NA,2.6,T
1196,Rodentia,Dipodomys compactus,49.25,167.81,NA,1.94,T
1197,Rodentia,Dipodomys deserti,107.63,138.11,NA,3.36,T
1198,Rodentia,Dipodomys elator,105.82,119.5,0.00073307,2.91,T
1199,Rodentia,Dipodomys gravipes,83.96,129.04,NA,NA,T
1200,Rodentia,Dipodomys heermanni,63.08,111.25,NA,3.11,T
1201,Rodentia,Dipodomys ingens,113.61,147.83,0.000314541,4.77,T
1202,Rodentia,Dipodomys merriami,37.91,98.54,0.001745298,2.39,T
1203,Rodentia,Dipodomys microps,56.26,112.47,0.03,2.37,T
1204,Rodentia,Dipodomys nelsoni,87.93,127.5,NA,1.94,T
1205,Rodentia,Dipodomys nitratoides,41.59,97.45,NA,2.14,T
1206,Rodentia,Dipodomys ordii,50.4,113.92,0.004440926,2.95,T
1207,Rodentia,Dipodomys panamintinus,73.67,120.46,0.003884943,3.78,T
1208,Rodentia,Dipodomys phillipsii,41,95.86,NA,2.59,T
1209,Rodentia,Dipodomys simulans,NA,NA,NA,NA,T
1210,Rodentia,Dipodomys spectabilis,124.61,141.14,0.000506179,2.67,T
1211,Rodentia,Dipodomys stephensi,68.49,116.5,0.000790491,2.68,T
1212,Rodentia,Dipodomys venustus,81.52,126.49,NA,1.73,T
1213,Rodentia,Dipus sagitta,89,NA,NA,3.49,T
1229,Rodentia,Dolichotis patagonum,8000,663.84,0.69,1.75,T
1230,Rodentia,Dolichotis salinicola,1607.6,NA,NA,1.94,T
1239,Rodentia,Dremomys everetti,129.78,203.5,NA,NA,T
1240,Rodentia,Dremomys gularis,NA,NA,NA,NA,T
1241,Rodentia,Dremomys lokriah,226.99,NA,NA,3.68,T
1242,Rodentia,Dremomys pernyi,198.63,NA,NA,NA,T
1243,Rodentia,Dremomys pyrrhomerus,NA,NA,NA,NA,T
1244,Rodentia,Dremomys rufigenis,200.32,202.68,NA,NA,T
1246,Rodentia,Dryomys laniger,25.91,105,NA,4.18,T
1247,Rodentia,Dryomys niethammeri,NA,NA,NA,NA,T
1248,Rodentia,Dryomys nitedula,29.5,105,NA,3.24,T
1254,Rodentia,Echimys chrysurus,609.99,296.11,NA,1.94,T
1255,Rodentia,Echimys saturnus,626.89,NA,NA,NA,T
1256,Rodentia,Echimys semivillosus,282.36,NA,NA,NA,T
1257,Rodentia,Echinoprocta rufescens,831.79,NA,NA,NA,T
1260,Rodentia,Echiothrix centrosa,NA,NA,NA,NA,T
1261,Rodentia,Echiothrix leucura,NA,NA,NA,NA,T
1273,Rodentia,Elasmodontomys obliquus,13700,NA,NA,NA,T
506,Rodentia,Eligmodontia moreni,18,NA,NA,NA,T
507,Rodentia,Eligmodontia morgani,16.5,NA,NA,NA,T
508,Rodentia,Eligmodontia puerulus,28.49,NA,NA,NA,T
509,Rodentia,Eligmodontia typus,17.37,NA,NA,6.24,T
510,Rodentia,Eliomys melanurus,100.36,137.5,NA,4.99,T
511,Rodentia,Eliomys munbyanus,NA,NA,NA,NA,T
512,Rodentia,Eliomys quercinus,114.61,138.74,NA,4.99,T
513,Rodentia,Eliurus antsingy,NA,NA,NA,NA,T
514,Rodentia,Eliurus ellermani,100,NA,NA,NA,T
515,Rodentia,Eliurus grandidieri,NA,NA,NA,NA,T
516,Rodentia,Eliurus majori,100,NA,NA,NA,T
517,Rodentia,Eliurus minor,57.53,128.24,NA,NA,T
518,Rodentia,Eliurus myoxinus,69.76,127.5,NA,NA,T
519,Rodentia,Eliurus penicillatus,100,NA,NA,NA,T
520,Rodentia,Eliurus petteri,75,NA,NA,NA,T
521,Rodentia,Eliurus tanala,89.99,NA,NA,NA,T
522,Rodentia,Eliurus webbi,61.13,NA,NA,NA,T
523,Rodentia,Ellobius alaicus,NA,NA,NA,NA,T
524,Rodentia,Ellobius fuscocapillus,80,NA,NA,3.46,T
525,Rodentia,Ellobius lutescens,NA,NA,NA,4.66,T
526,Rodentia,Ellobius talpinus,40,NA,NA,3.67,T
527,Rodentia,Ellobius tancrei,NA,NA,NA,NA,T
1278,Rodentia,Eoglaucomys fimbriatus,510,NA,NA,3.74,T
1279,Rodentia,Eolagurus luteus,26,NA,NA,7.5,T
1280,Rodentia,Eolagurus przewalskii,NA,NA,NA,NA,T
1284,Rodentia,Eospalax fontanierii,256.76,NA,NA,NA,T
1285,Rodentia,Eospalax rothschildi,NA,NA,NA,NA,T
